job_name,start_time,end_time,duration_seconds,parts_completed,outcome
Bracket-Rev4,2026-09-10T19:03:00.456568,2026-09-10T19:03:00.456628,0.0,5,completed
Housing-A,2026-09-10T19:03:00.459361,2026-09-10T19:03:00.459434,0.0,0,failed
Bracket-Rev4,2026-09-10T19:03:00.474557,2026-09-10T19:03:00.474632,0.0,5,completed
Housing-A,2026-09-10T19:03:00.477432,2026-09-10T19:03:00.477538,0.0,0,failed
Shaft-Coupler,2026-09-10T19:03:00.480202,2026-09-10T19:03:00.480283,0.0,8,completed
Bracket-Rev4,2026-09-11T11:21:38.132564,2026-09-11T11:21:38.155271,0.02,5,completed
Housing-A,2026-09-11T11:21:38.160451,2026-09-11T11:21:38.160493,0.0,0,failed
Bracket-Rev4,2026-09-11T11:21:40.853244,2026-09-11T11:21:40.853537,0.0,5,completed
Housing-A,2026-09-11T11:21:40.856745,2026-09-11T11:21:40.856775,0.0,0,failed
Shaft-Coupler,2026-09-11T11:21:40.861185,2026-09-11T11:21:40.861529,0.0,8,completed
